-0.67	-52.72
9.20	-44.61
18.11	-36.99
25.69	-28.19
31.38	-20.38
36.25	-13.50
41.10	-5.84
45.08	0.35
46.82	6.44
50.45	12.62
52.79	17.50
54.65	22.01
58.24	26.41
62.43	30.78
65.96	35.05
72.18	39.92
78.90	44.65
86.23	49.70
96.66	56.30
104.27	62.58
111.00	68.46
119.93	75.69
128.48	82.61
133.50	88.79
137.13	94.66
141.46	101.23
141.38	106.49
138.83	110.42
137.02	113.65
131.17	115.78
124.58	116.93
118.46	117.12
111.26	116.40
104.18	114.92
94.94	112.49
85.09	109.17
71.68	104.61
57.11	98.39
36.08	90.82
19.73	82.19
-2.72	71.88
-27.70	58.83
-48.79	45.76
-73.41	29.03
-89.73	14.60
-104.05	-0.94
-115.04	-14.80
-124.27	-29.14
-115.95	-39.69
-107.44	-48.56
-94.87	-54.19
-83.10	-57.70
-74.08	-59.84
-70.60	-61.35
-71.38	-62.57
-81.58	-64.88
-93.28	-68.60
-109.08	-74.29
-123.89	-80.31
-140.63	-87.63
-156.19	-96.62
-169.96	-105.52
-180.16	-114.59
-186.70	-124.04
-188.09	-133.03
-188.20	-139.73
-184.94	-145.22
-181.07	-149.92
-178.92	-153.44
-176.94	-156.30
-176.21	-158.71
-175.56	-160.92
-172.77	-162.36
-172.36	-163.57
-172.36	-164.64
-172.94	-165.73
-173.86	-166.72
-174.66	-167.83
-175.93	-168.89
-178.69	-170.08
-181.66	-171.49
-184.82	-173.11
-186.72	-174.89
-189.08	-176.61
-188.42	-178.05
-186.56	-179.08
-181.34	-179.38
-172.43	-178.53
-163.60	-176.72
-152.14	-173.73
-135.70	-168.75
-118.28	-162.62
-94.86	-154.39
-63.27	-142.45
-20.38	-127.63
36.77	-107.66
123.47	-75.21
196.05	-39.66
250.14	-4.47
250.14	31.28
250.14	57.86
250.14	83.06
250.14	103.35
250.14	123.96
250.14	140.49
250.14	153.81
250.14	165.51
250.14	175.79
250.14	184.82
250.14	192.75
250.14	199.72
250.14	205.84
250.14	211.65
250.14	216.32
246.17	219.94
233.82	221.63
216.59	220.97
196.74	218.03
181.47	213.59
158.37	206.35
134.75	197.66
108.43	186.82
77.89	173.59
47.47	157.06
13.89	139.68
-30.46	115.79
-67.40	93.54
-102.33	67.87
-137.05	42.99
-170.99	17.00
-208.22	-16.69
-231.68	-42.80
-250.13	-67.98
-250.13	-90.10
-250.13	-109.54
-250.13	-126.61
-250.13	-141.61
-250.13	-154.79
-250.13	-167.28
-250.13	-177.34
-250.13	-186.18
-250.13	-193.95
-250.13	-201.31
-250.13	-207.24
-250.13	-212.45
-250.13	-217.02
-250.13	-221.36
-250.13	-224.86
-250.13	-227.93
-250.13	-230.83
-250.13	-233.54
-250.13	-235.56
-250.13	-237.33
-250.13	-239.01
-250.13	-240.36
-250.13	-241.54
-250.13	-242.59
-250.13	-243.57
-233.02	-242.29
-202.21	-237.42
-173.76	-229.69
-148.56	-219.06
-127.53	-207.95
-109.89	-196.04
-90.90	-182.26
-70.81	-168.73
-45.34	-153.74
-11.04	-133.70
26.46	-112.72
72.37	-90.24
116.33	-65.15
172.86	-36.25
225.11	-4.51
250.14	26.42
250.14	53.59
250.14	77.46
250.14	100.08
250.14	118.31
250.14	134.32
250.14	149.49
250.14	161.72
250.14	172.45
250.14	183.36
250.14	192.11
250.14	199.16
250.14	205.35
250.14	210.79
250.14	215.95
250.14	220.10
250.14	224.32
250.14	227.70
250.14	230.42
250.14	232.82
250.14	234.92
250.14	236.92
250.14	238.77
250.14	240.15
250.14	241.37
250.14	242.51
250.14	243.44
239.71	242.99
216.44	239.76
186.29	232.76
152.92	223.06
107.63	206.85
67.51	188.59
39.70	170.51
7.56	150.72
-24.43	129.45
-51.53	107.47
-81.60	84.51
-105.05	61.49
-125.15	38.82
-142.76	15.03
-159.98	-6.22
-176.53	-26.91
-194.68	-47.28
-212.49	-68.93
-229.60	-88.44
-246.72	-107.66
-250.13	-126.33
-250.13	-141.37
-250.13	-155.62
-250.13	-167.10
-250.13	-177.98
-250.13	-186.74
-250.13	-194.44
-250.13	-201.20
-250.13	-207.61
-250.13	-212.78
-250.13	-217.31
-250.13	-221.30
-250.13	-225.08
-250.13	-228.12
-250.13	-230.79
-250.13	-233.14
-250.13	-235.37
-250.13	-237.16
-250.13	-238.73
-250.13	-240.23
